locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAGEIGCL_02676	CDS	1368				hypothetical protein
FAGEIGCL_02677	CDS	1626				hypothetical protein
FAGEIGCL_02678	CDS	699	nagR_1		COG2188	HTH-type transcriptional repressor NagR
FAGEIGCL_02679	CDS	276				hypothetical protein
FAGEIGCL_02680	CDS	138				hypothetical protein
FAGEIGCL_02681	CDS	144				hypothetical protein
FAGEIGCL_02682	CDS	1671				hypothetical protein
FAGEIGCL_02683	CDS	609				hypothetical protein
FAGEIGCL_02684	CDS	561				hypothetical protein
FAGEIGCL_02685	CDS	849	murR_1			HTH-type transcriptional regulator MurR
FAGEIGCL_02686	CDS	984	iolU_3	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
FAGEIGCL_02687	CDS	525				hypothetical protein
FAGEIGCL_02688	CDS	1059	yhhX_2	1.-.-.-	COG0673	putative oxidoreductase YhhX
FAGEIGCL_02689	CDS	258	yoeB_2	3.1.-.-	COG4115	Toxin YoeB
FAGEIGCL_02690	CDS	267				hypothetical protein
FAGEIGCL_02691	CDS	333				hypothetical protein
FAGEIGCL_02692	CDS	1566	ffh_1		COG0541	Signal recognition particle protein
FAGEIGCL_02693	CDS	1017	rhaR_2			HTH-type transcriptional activator RhaR
FAGEIGCL_02694	CDS	1740	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FAGEIGCL_02695	CDS	1734		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
FAGEIGCL_02696	CDS	588				hypothetical protein
FAGEIGCL_02697	CDS	669				hypothetical protein
FAGEIGCL_02698	CDS	1386	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
FAGEIGCL_02699	CDS	1071	xerS		COG0582	Tyrosine recombinase XerS
FAGEIGCL_02700	CDS	681				hypothetical protein
FAGEIGCL_02701	CDS	948	graS_1	2.7.13.3		Sensor histidine kinase GraS
FAGEIGCL_02702	CDS	699	graR_1		COG0745	Response regulator protein GraR
FAGEIGCL_02703	CDS	1980	yxdM			ABC transporter permease protein YxdM
FAGEIGCL_02704	CDS	753	yxdL_1		COG1136	ABC transporter ATP-binding protein YxdL
FAGEIGCL_02705	CDS	120				hypothetical protein
FAGEIGCL_02706	CDS	102				hypothetical protein
FAGEIGCL_02707	CDS	1338	trmFO_1	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
FAGEIGCL_02708	CDS	483				hypothetical protein
FAGEIGCL_02709	CDS	720				hypothetical protein
FAGEIGCL_02710	CDS	666				hypothetical protein
FAGEIGCL_02711	CDS	2142	topA_2	5.6.2.1		DNA topoisomerase 1
FAGEIGCL_02712	CDS	843	dprA_1		COG0758	DNA processing protein DprA
FAGEIGCL_02713	CDS	552	maa_2	2.3.1.79	COG0110	Maltose O-acetyltransferase
FAGEIGCL_02714	CDS	780	rnhB_2	3.1.26.4	COG0164	Ribonuclease HII
FAGEIGCL_02715	CDS	855	rbgA_2		COG1161	Ribosome biogenesis GTPase A
FAGEIGCL_02716	CDS	126				hypothetical protein
FAGEIGCL_02717	CDS	1014	graS_2	2.7.13.3		Sensor histidine kinase GraS
FAGEIGCL_02718	CDS	660	graR_2		COG0745	Response regulator protein GraR
FAGEIGCL_02719	CDS	1803				hypothetical protein
FAGEIGCL_02720	CDS	771	yxdL_2		COG1136	ABC transporter ATP-binding protein YxdL
FAGEIGCL_02721	CDS	231				hypothetical protein
FAGEIGCL_02722	CDS	192				hypothetical protein
FAGEIGCL_02723	CDS	258				hypothetical protein
FAGEIGCL_02724	CDS	108				hypothetical protein
FAGEIGCL_02725	CDS	654				hypothetical protein
FAGEIGCL_02726	CDS	849	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FAGEIGCL_02727	CDS	372	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
FAGEIGCL_02728	CDS	1725	nag3_1	3.2.1.21	COG1472	Beta-N-acetylglucosaminidase/beta-glucosidase
FAGEIGCL_02729	CDS	1791	nag3_2	3.2.1.21	COG1472	Beta-N-acetylglucosaminidase/beta-glucosidase
FAGEIGCL_02730	CDS	801				hypothetical protein
FAGEIGCL_02731	CDS	1533				hypothetical protein
FAGEIGCL_02732	CDS	840		1.-.-.-	COG1028	putative oxidoreductase
FAGEIGCL_02733	CDS	351				hypothetical protein
FAGEIGCL_02734	CDS	1095	uxuA_2	4.2.1.8	COG1312	Mannonate dehydratase
FAGEIGCL_02735	CDS	1398	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
FAGEIGCL_02736	CDS	636	kdgA_1		COG0800	KHG/KDPG aldolase
FAGEIGCL_02737	CDS	720	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
FAGEIGCL_02738	CDS	1800	uidA_2	3.2.1.31	COG3250	Beta-glucuronidase
FAGEIGCL_02739	CDS	1032	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
FAGEIGCL_02740	CDS	1536	yagG		COG2211	Putative glycoside/cation symporter YagG
FAGEIGCL_02741	CDS	1539	ybiT_3		COG0488	putative ABC transporter ATP-binding protein YbiT
FAGEIGCL_02742	CDS	99				hypothetical protein
FAGEIGCL_02743	CDS	555				hypothetical protein
FAGEIGCL_02744	CDS	861	pdxK_1	2.7.1.35		Pyridoxine/pyridoxal/pyridoxamine kinase
FAGEIGCL_02745	CDS	1263	norG		COG1167	HTH-type transcriptional regulator NorG
FAGEIGCL_02746	CDS	936	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
FAGEIGCL_02747	CDS	1077	asd_3	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
FAGEIGCL_02748	CDS	1599	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
FAGEIGCL_02749	CDS	111				hypothetical protein
FAGEIGCL_02750	CDS	1671	fhs1_1	6.3.4.3		Formate--tetrahydrofolate ligase 1
FAGEIGCL_02751	CDS	687	coaBC_3		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
FAGEIGCL_02752	CDS	546	coaBC_4		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
FAGEIGCL_02753	CDS	573	panT		COG4684	Pantothenic acid transporter PanT
FAGEIGCL_02754	CDS	1716	pgcA_1	5.4.2.2		Phosphoglucomutase
FAGEIGCL_02755	CDS	1191	Int-Tn_1			Transposase from transposon Tn916
FAGEIGCL_02756	CDS	204				hypothetical protein
FAGEIGCL_02757	CDS	234				hypothetical protein
FAGEIGCL_02758	CDS	441				hypothetical protein
FAGEIGCL_02759	CDS	636			COG1136	putative ABC transporter ATP-binding protein
FAGEIGCL_02760	CDS	1446				hypothetical protein
FAGEIGCL_02761	CDS	1224				hypothetical protein
FAGEIGCL_02762	CDS	465				hypothetical protein
FAGEIGCL_02763	CDS	396	arlR_2		COG0745	Response regulator ArlR
FAGEIGCL_02764	CDS	1293	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FAGEIGCL_02765	CDS	1365	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FAGEIGCL_02766	CDS	660	saeR			Response regulator SaeR
FAGEIGCL_02767	CDS	333				hypothetical protein
FAGEIGCL_02768	CDS	747				hypothetical protein
FAGEIGCL_02769	CDS	744				hypothetical protein
FAGEIGCL_02770	CDS	702	bcrA_1			Bacitracin transport ATP-binding protein BcrA
FAGEIGCL_02771	CDS	912				hypothetical protein
FAGEIGCL_02772	CDS	426				hypothetical protein
FAGEIGCL_02773	CDS	969	ypuA		COG4086	putative protein YpuA
FAGEIGCL_02774	CDS	414				hypothetical protein
FAGEIGCL_02775	CDS	747	strA_1	3.4.22.-	COG3764	Sortase A
FAGEIGCL_02776	CDS	2457	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
FAGEIGCL_02777	CDS	990	ldh_2	1.1.1.27	COG0039	L-lactate dehydrogenase
FAGEIGCL_02778	CDS	1368		1.6.99.3		putative NADH oxidase
FAGEIGCL_02779	CDS	204				hypothetical protein
FAGEIGCL_02780	CDS	333				ISL3 family transposase IS1193
FAGEIGCL_02781	CDS	957				hypothetical protein
FAGEIGCL_02782	CDS	1053				hypothetical protein
FAGEIGCL_02783	CDS	1539	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
FAGEIGCL_02784	CDS	1065	tmpC_3		COG1744	Membrane lipoprotein TmpC
FAGEIGCL_02785	CDS	663	deoC_1	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
FAGEIGCL_02786	CDS	594	rsmC_1	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
FAGEIGCL_02787	CDS	921	coaA_3	2.7.1.33	COG1072	Pantothenate kinase
FAGEIGCL_02788	CDS	237	rpsT_2		COG0268	30S ribosomal protein S20
FAGEIGCL_02789	CDS	1341	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
FAGEIGCL_02790	CDS	675	arlR_3		COG0745	Response regulator ArlR
FAGEIGCL_02791	CDS	2544	pepN_1	3.4.11.2		Aminopeptidase N
FAGEIGCL_02792	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
FAGEIGCL_02793	CDS	759	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
FAGEIGCL_02794	CDS	804	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
FAGEIGCL_02795	CDS	888				hypothetical protein
FAGEIGCL_02796	CDS	918	pstC_1		COG0573	Phosphate transport system permease protein PstC
FAGEIGCL_02797	CDS	867	pstS1_1		COG0226	Phosphate-binding protein PstS 1
FAGEIGCL_02798	CDS	1311	rsmF_2	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
FAGEIGCL_02799	CDS	1356	gor_2	1.8.1.7	COG1249	Glutathione reductase
FAGEIGCL_02800	CDS	333				hypothetical protein
FAGEIGCL_02801	CDS	324				hypothetical protein
FAGEIGCL_02802	CDS	825	zupT_1		COG0428	Zinc transporter ZupT
FAGEIGCL_02803	CDS	558	tag_2	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
FAGEIGCL_02804	CDS	759	suhB_1	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
FAGEIGCL_02805	CDS	276				hypothetical protein
FAGEIGCL_02806	CDS	405	spxA_1		COG1393	Regulatory protein Spx
FAGEIGCL_02807	CDS	942	ribF_1		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
FAGEIGCL_02808	CDS	879	truB_2	5.4.99.25	COG0130	tRNA pseudouridine synthase B
FAGEIGCL_02809	CDS	1356				hypothetical protein
FAGEIGCL_02810	CDS	240				hypothetical protein
FAGEIGCL_02811	CDS	162				hypothetical protein
FAGEIGCL_02812	CDS	177				hypothetical protein
FAGEIGCL_02813	CDS	1515				hypothetical protein
FAGEIGCL_02814	CDS	597				hypothetical protein
FAGEIGCL_02815	CDS	1392	ykoD_2	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
FAGEIGCL_02816	CDS	588	ecfT_2			Energy-coupling factor transporter transmembrane protein EcfT
FAGEIGCL_02817	CDS	585				hypothetical protein
FAGEIGCL_02818	CDS	1665			COG1132	putative ABC transporter ATP-binding/permease protein
FAGEIGCL_02819	CDS	1776	btuD_4	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FAGEIGCL_02820	CDS	2643				hypothetical protein
FAGEIGCL_02821	CDS	702			COG1136	putative ABC transporter ATP-binding protein
FAGEIGCL_02822	CDS	549				hypothetical protein
FAGEIGCL_02823	CDS	153				hypothetical protein
FAGEIGCL_02824	CDS	315				hypothetical protein
FAGEIGCL_02825	CDS	396				hypothetical protein
FAGEIGCL_02826	CDS	237				hypothetical protein
FAGEIGCL_02827	CDS	2445				hypothetical protein
FAGEIGCL_02828	CDS	675	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
FAGEIGCL_02829	CDS	657				hypothetical protein
FAGEIGCL_02830	CDS	435				hypothetical protein
FAGEIGCL_02831	CDS	417	yjdF_1			putative protein YjdF
FAGEIGCL_02832	CDS	1326	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
FAGEIGCL_02833	CDS	690	walR_1		COG0745	Transcriptional regulatory protein WalR
FAGEIGCL_02834	CDS	141				hypothetical protein
FAGEIGCL_02835	CDS	246				hypothetical protein
FAGEIGCL_02836	CDS	171				hypothetical protein
FAGEIGCL_02837	CDS	387				hypothetical protein
FAGEIGCL_02838	CDS	816				hypothetical protein
FAGEIGCL_02839	tRNA	72				tRNA-Trp(cca)
FAGEIGCL_02840	CDS	438				hypothetical protein
FAGEIGCL_02841	CDS	618	rpoE_1			DNA-directed RNA polymerase subunit delta
FAGEIGCL_02842	CDS	318	yhaM_1	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
FAGEIGCL_02843	CDS	291	prsA_1	5.2.1.8		Foldase protein PrsA
FAGEIGCL_02844	CDS	909				hypothetical protein
FAGEIGCL_02845	CDS	600	tkt_4	2.2.1.1		Transketolase
FAGEIGCL_02846	CDS	747				putative transporter
FAGEIGCL_02847	CDS	270	grpE_1		COG0576	Protein GrpE
FAGEIGCL_02848	CDS	1005	apc3	6.4.1.8	COG0145	Acetophenone carboxylase gamma subunit
FAGEIGCL_02849	CDS	666				hypothetical protein
FAGEIGCL_02850	CDS	1080	alr_1	5.1.1.1	COG0787	Alanine racemase, biosynthetic
FAGEIGCL_02851	CDS	1416	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
FAGEIGCL_02852	CDS	984	qorA	1.6.5.5	COG0604	Quinone oxidoreductase 1
FAGEIGCL_02853	CDS	243	pspG			Phage shock protein G
FAGEIGCL_02854	CDS	996	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
FAGEIGCL_02855	CDS	516	zur_2		COG0735	Zinc uptake regulation protein
FAGEIGCL_02856	CDS	210				hypothetical protein
FAGEIGCL_02857	CDS	1326	dinF		COG0534	DNA damage-inducible protein F
FAGEIGCL_02858	CDS	609	lexA_1	3.4.21.88	COG1974	LexA repressor
FAGEIGCL_02859	CDS	369	dgkA_1	2.7.1.107	COG0818	Diacylglycerol kinase
FAGEIGCL_02860	CDS	2424	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
FAGEIGCL_02861	CDS	873	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
FAGEIGCL_02862	CDS	498	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
FAGEIGCL_02863	CDS	921				hypothetical protein
FAGEIGCL_02864	CDS	1341	lamB		COG4580	Maltoporin
FAGEIGCL_02865	CDS	1116	malK	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
FAGEIGCL_02866	CDS	1191	malE		COG2182	Maltose/maltodextrin-binding periplasmic protein
FAGEIGCL_02867	CDS	1545	malF		COG1175	Maltose/maltodextrin transport system permease protein MalF
FAGEIGCL_02868	CDS	891	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
FAGEIGCL_02869	CDS	411	psiE_1		COG3223	Protein PsiE
FAGEIGCL_02870	CDS	249				hypothetical protein
FAGEIGCL_02871	CDS	2097				hypothetical protein
FAGEIGCL_02872	CDS	738				hypothetical protein
FAGEIGCL_02873	CDS	639	gfcB			putative lipoprotein GfcB
FAGEIGCL_02874	CDS	243				hypothetical protein
FAGEIGCL_02875	CDS	1650	pgi_2	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
FAGEIGCL_02876	CDS	1350	lysC	2.7.2.4	COG0527	Lysine-sensitive aspartokinase 3
FAGEIGCL_02877	CDS	273				hypothetical protein
FAGEIGCL_02878	CDS	873	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
FAGEIGCL_02879	CDS	948	sorC_2		COG2390	Sorbitol operon regulator
FAGEIGCL_02880	CDS	807	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
FAGEIGCL_02881	CDS	408	sorF_2		COG2893	PTS system sorbose-specific EIIA component
FAGEIGCL_02882	CDS	495	sorB_3	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
FAGEIGCL_02883	CDS	798	sorA_1		COG3715	PTS system sorbose-specific EIIC component
FAGEIGCL_02884	CDS	825	sorM		COG3716	PTS system sorbose-specific EIID component
FAGEIGCL_02885	CDS	1230	yggP_2	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
FAGEIGCL_02886	CDS	690	pepE	3.4.13.21	COG3340	Peptidase E
FAGEIGCL_02887	CDS	1632				hypothetical protein
FAGEIGCL_02888	CDS	450				hypothetical protein
FAGEIGCL_02889	CDS	321				hypothetical protein
FAGEIGCL_02890	CDS	3684	metH	2.1.1.13	COG0646	Methionine synthase
FAGEIGCL_02891	CDS	825	iclR		COG1414	Transcriptional repressor IclR
FAGEIGCL_02892	CDS	1725	aceK	2.7.11.5	COG4579	Isocitrate dehydrogenase kinase/phosphatase
FAGEIGCL_02893	CDS	1305	aceA	4.1.3.1	COG2224	Isocitrate lyase
FAGEIGCL_02894	CDS	1602	aceB	2.3.3.9	COG2225	Malate synthase A
FAGEIGCL_02895	CDS	930	metAS	2.3.1.46	COG1897	Homoserine O-succinyltransferase
FAGEIGCL_02896	CDS	444	yjaB_1	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YjaB
FAGEIGCL_02897	CDS	384				hypothetical protein
FAGEIGCL_02898	rRNA	111				5S ribosomal RNA
FAGEIGCL_02899	CDS	540				hypothetical protein
FAGEIGCL_02900	CDS	399				hypothetical protein
FAGEIGCL_02901	CDS	576	mntB_4			Manganese transport system membrane protein MntB
FAGEIGCL_02902	CDS	294				hypothetical protein
FAGEIGCL_02903	CDS	1041				hypothetical protein
FAGEIGCL_02904	CDS	282				hypothetical protein
FAGEIGCL_02905	CDS	2379				hypothetical protein
FAGEIGCL_02906	CDS	600	ompX_2		COG3637	Outer membrane protein X
FAGEIGCL_02907	CDS	1107				hypothetical protein
FAGEIGCL_02908	CDS	180				hypothetical protein
FAGEIGCL_02909	CDS	177				hypothetical protein
FAGEIGCL_02910	CDS	333				hypothetical protein
FAGEIGCL_02911	CDS	1278				hypothetical protein
FAGEIGCL_02912	CDS	1260				hypothetical protein
FAGEIGCL_02913	CDS	537	sipT	3.4.21.89	COG0681	Signal peptidase I T
FAGEIGCL_02914	CDS	549	bioY2_1		COG1268	Biotin transporter BioY2
FAGEIGCL_02915	CDS	612	rpsD_1		COG0522	30S ribosomal protein S4
FAGEIGCL_02916	CDS	804				hypothetical protein
FAGEIGCL_02917	CDS	654				hypothetical protein
FAGEIGCL_02918	CDS	540	eutC_1	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
FAGEIGCL_02919	CDS	1020	ptcA	2.1.3.6	COG0078	Putrescine carbamoyltransferase
FAGEIGCL_02920	CDS	966	malT_2			HTH-type transcriptional regulator MalT
FAGEIGCL_02921	CDS	318				hypothetical protein
FAGEIGCL_02922	CDS	129				hypothetical protein
FAGEIGCL_02923	CDS	396				hypothetical protein
FAGEIGCL_02924	CDS	714				hypothetical protein
FAGEIGCL_02925	CDS	150				hypothetical protein
FAGEIGCL_02926	CDS	366	rusA_1	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
FAGEIGCL_02927	CDS	162				hypothetical protein
FAGEIGCL_02928	CDS	639	dauR_2		COG2964	Transcriptional regulator DauR
FAGEIGCL_02929	CDS	267				hypothetical protein
FAGEIGCL_02930	CDS	90				hypothetical protein
FAGEIGCL_02931	CDS	579	trmFO_2	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
FAGEIGCL_02932	CDS	900				hypothetical protein
FAGEIGCL_02933	CDS	510	moaC_1	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
FAGEIGCL_02934	CDS	117				putative ABC transporter ATP-binding protein
FAGEIGCL_02935	CDS	612				hypothetical protein
FAGEIGCL_02936	CDS	345	phoA_2	3.1.3.1	COG1785	Alkaline phosphatase 4
FAGEIGCL_02937	CDS	702	kdgR_2		COG1414	Transcriptional regulator KdgR
FAGEIGCL_02938	CDS	930				hypothetical protein
FAGEIGCL_02939	CDS	654				hypothetical protein
FAGEIGCL_02940	CDS	501	rutB_1	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
FAGEIGCL_02941	CDS	375	phoP_2		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
FAGEIGCL_02942	CDS	732				hypothetical protein
FAGEIGCL_02943	CDS	480	greA_1		COG0782	Transcription elongation factor GreA
FAGEIGCL_02944	CDS	1386	mltG_1	4.2.2.-		Endolytic murein transglycosylase
FAGEIGCL_02945	CDS	366			COG3689	Putative two-component membrane permease complex subunit SMU_746c
FAGEIGCL_02946	CDS	258				hypothetical protein
FAGEIGCL_02947	CDS	384				hypothetical protein
FAGEIGCL_02948	CDS	447				hypothetical protein
FAGEIGCL_02949	CDS	561	efp_2			Elongation factor P
FAGEIGCL_02950	CDS	138				hypothetical protein
FAGEIGCL_02951	CDS	504				hypothetical protein
FAGEIGCL_02952	CDS	1095				hypothetical protein
FAGEIGCL_02953	CDS	459				hypothetical protein
FAGEIGCL_02954	CDS	210				hypothetical protein
FAGEIGCL_02955	CDS	330				hypothetical protein
FAGEIGCL_02956	CDS	525				hypothetical protein
FAGEIGCL_02957	CDS	1506			COG1705	N-acetylmuramoyl-L-alanine amidase domain-containing protein
FAGEIGCL_02958	CDS	513	niaR_2		COG1827	putative transcription repressor NiaR
FAGEIGCL_02959	CDS	774	dapH_2	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
FAGEIGCL_02960	CDS	855	pyrB_3	2.1.3.2	COG0540	Aspartate carbamoyltransferase
FAGEIGCL_02961	CDS	264				hypothetical protein
FAGEIGCL_02962	CDS	270				hypothetical protein
FAGEIGCL_02963	CDS	456				hypothetical protein
FAGEIGCL_02964	CDS	681				hypothetical protein
FAGEIGCL_02965	CDS	402				hypothetical protein
FAGEIGCL_02966	CDS	384	yvbW		COG1113	putative amino acid permease YvbW
FAGEIGCL_02967	CDS	867				hypothetical protein
FAGEIGCL_02968	CDS	234				hypothetical protein
FAGEIGCL_02969	CDS	327				hypothetical protein
FAGEIGCL_02970	CDS	639				hypothetical protein
FAGEIGCL_02971	CDS	297				hypothetical protein
FAGEIGCL_02972	CDS	492				hypothetical protein
FAGEIGCL_02973	CDS	888	dgoD_1	4.2.1.6	COG4948	D-galactonate dehydratase
FAGEIGCL_02974	CDS	840				hypothetical protein
FAGEIGCL_02975	CDS	1308	ftsA_2		COG0849	Cell division protein FtsA
FAGEIGCL_02976	CDS	648	kdgA_2		COG0800	KHG/KDPG aldolase
FAGEIGCL_02977	CDS	1008	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
FAGEIGCL_02978	CDS	840	kduI1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1
FAGEIGCL_02979	CDS	789	kduD_3	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
FAGEIGCL_02980	CDS	1005	dgs_1	2.4.1.208	COG0438	Processive diacylglycerol alpha-glucosyltransferase
FAGEIGCL_02981	tRNA	76				tRNA-Asn(gtt)
FAGEIGCL_02982	rRNA	110				5S ribosomal RNA
FAGEIGCL_02983	CDS	222				hypothetical protein
FAGEIGCL_02984	CDS	222	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
FAGEIGCL_02985	CDS	1188	bdhA_1	1.1.1.-	COG1979	NADH-dependent butanol dehydrogenase A
FAGEIGCL_02986	CDS	462	feuC_1		COG0609	Iron-uptake system permease protein FeuC
FAGEIGCL_02987	CDS	342	hin_1		COG1961	DNA-invertase hin
FAGEIGCL_02988	CDS	171	proC_2	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FAGEIGCL_02989	CDS	288	czrA		COG0640	HTH-type transcriptional repressor CzrA
FAGEIGCL_02990	CDS	180				hypothetical protein
FAGEIGCL_02991	CDS	843				hypothetical protein
FAGEIGCL_02992	CDS	324				hypothetical protein
FAGEIGCL_02993	CDS	249				hypothetical protein
FAGEIGCL_02994	CDS	297	ulaB_3	2.7.1.194		Ascorbate-specific PTS system EIIB component
FAGEIGCL_02995	CDS	465	ulaC_3		COG1762	Ascorbate-specific PTS system EIIA component
FAGEIGCL_02996	CDS	597		1.14.99.53	COG3397	Lytic chitin monooxygenase
FAGEIGCL_02997	CDS	1116	proS_2	6.1.1.15	COG0442	Proline--tRNA ligase
FAGEIGCL_02998	CDS	291				hypothetical protein
FAGEIGCL_02999	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
FAGEIGCL_03000	CDS	1116				hypothetical protein
FAGEIGCL_03001	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
FAGEIGCL_03002	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
FAGEIGCL_03003	CDS	2028				hypothetical protein
FAGEIGCL_03004	CDS	1176				hypothetical protein
FAGEIGCL_03005	CDS	636	ycaM		COG0531	Inner membrane transporter YcaM
FAGEIGCL_03006	CDS	345				hypothetical protein
FAGEIGCL_03007	CDS	123				hypothetical protein
FAGEIGCL_03008	CDS	381				hypothetical protein
FAGEIGCL_03009	CDS	339				hypothetical protein
FAGEIGCL_03010	CDS	663	ccpA_1		COG1609	Catabolite control protein A
FAGEIGCL_03011	CDS	210				hypothetical protein
FAGEIGCL_03012	CDS	186			COG1132	putative ABC transporter ATP-binding protein
FAGEIGCL_03013	CDS	2190				hypothetical protein
FAGEIGCL_03014	CDS	2004				hypothetical protein
FAGEIGCL_03015	CDS	381				hypothetical protein
FAGEIGCL_03016	CDS	294	esxA			Type VII secretion system extracellular protein A
FAGEIGCL_03017	CDS	357	glnR_1		COG0789	HTH-type transcriptional regulator GlnR
FAGEIGCL_03018	CDS	987				hypothetical protein
FAGEIGCL_03019	CDS	366	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
FAGEIGCL_03020	CDS	645				hypothetical protein
FAGEIGCL_03021	CDS	375	cbeA_1			Cytoskeleton bundling-enhancing antitoxin CbeA
FAGEIGCL_03022	CDS	378	cbtA_1			Cytoskeleton-binding toxin CbtA
FAGEIGCL_03023	CDS	504				hypothetical protein
FAGEIGCL_03024	CDS	198				hypothetical protein
FAGEIGCL_03025	CDS	828				hypothetical protein
FAGEIGCL_03026	tRNA	88				tRNA-Ser(gga)
FAGEIGCL_03027	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
FAGEIGCL_03028	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
FAGEIGCL_03029	CDS	555	ycdY		COG3381	Chaperone protein YcdY
FAGEIGCL_03030	CDS	522	ycdZ			Inner membrane protein YcdZ
FAGEIGCL_03031	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
FAGEIGCL_03032	CDS	417	csgF			Curli production assembly/transport component CsgF
FAGEIGCL_03033	CDS	390	csgE			Curli production assembly/transport component CsgE
FAGEIGCL_03034	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
FAGEIGCL_03035	CDS	456	csgB			Minor curlin subunit
FAGEIGCL_03036	CDS	459	csgA			Major curlin subunit
FAGEIGCL_03037	CDS	333	csgC			Curli assembly protein CsgC
FAGEIGCL_03038	CDS	312	ymdA			putative protein YmdA
