locus_tag	ftype	length_bp	gene	EC_number	COG	product
HANCKOBL_01315	CDS	1413	ftsP		COG2132	Cell division protein FtsP
HANCKOBL_01316	CDS	1305	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
HANCKOBL_01317	CDS	483				hypothetical protein
HANCKOBL_01318	CDS	984			COG1638	Solute-binding protein
HANCKOBL_01319	CDS	1011	yjmC	1.1.1.-	COG2055	putative oxidoreductase YjmC
HANCKOBL_01320	CDS	1017	lgoD_1	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
HANCKOBL_01321	CDS	1473	mtlK_1	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
HANCKOBL_01322	CDS	750	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
HANCKOBL_01323	CDS	2220				hypothetical protein
HANCKOBL_01324	CDS	258	lpp1			Major outer membrane lipoprotein Lpp 1
HANCKOBL_01325	CDS	918				hypothetical protein
HANCKOBL_01326	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
HANCKOBL_01327	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
HANCKOBL_01328	CDS	957	rhaS_3			HTH-type transcriptional activator RhaS
HANCKOBL_01329	CDS	660	yghB		COG0586	Inner membrane protein YghB
HANCKOBL_01330	CDS	1188	metC	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
HANCKOBL_01331	CDS	735	exbB		COG0811	Biopolymer transport protein ExbB
HANCKOBL_01332	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
HANCKOBL_01333	CDS	885	yghA	1.-.-.-		putative oxidoreductase YghA
HANCKOBL_01334	CDS	495				hypothetical protein
HANCKOBL_01335	CDS	1041	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
HANCKOBL_01336	CDS	888				hypothetical protein
HANCKOBL_01337	CDS	288				hypothetical protein
HANCKOBL_01338	CDS	1119	hybO	1.12.99.6	COG1740	Hydrogenase-2 small chain
HANCKOBL_01339	CDS	987	fdnH_2		COG0437	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit
HANCKOBL_01340	CDS	1179	hybB		COG5557	putative Ni/Fe-hydrogenase 2 b-type cytochrome subunit
HANCKOBL_01341	CDS	1704	hybC	1.12.99.6	COG0374	Hydrogenase-2 large chain
HANCKOBL_01342	CDS	495	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
HANCKOBL_01343	CDS	489	hybE			Hydrogenase-2 operon protein HybE
HANCKOBL_01344	CDS	342	hybF		COG0375	Hydrogenase maturation factor HybF
HANCKOBL_01345	CDS	249	hybG		COG0298	Hydrogenase maturation factor HybG
HANCKOBL_01346	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
HANCKOBL_01347	CDS	1860	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
HANCKOBL_01348	CDS	1500	pitA_1		COG0306	Low-affinity inorganic phosphate transporter 1
HANCKOBL_01349	CDS	693	tmk_1	2.7.4.9		Thymidylate kinase
HANCKOBL_01350	CDS	699				hypothetical protein
HANCKOBL_01351	CDS	771				hypothetical protein
HANCKOBL_01352	CDS	1350				hypothetical protein
HANCKOBL_01353	CDS	837				hypothetical protein
HANCKOBL_01354	CDS	561	ytfJ_1		COG3054	putative protein YtfJ
HANCKOBL_01355	CDS	1071				hypothetical protein
HANCKOBL_01356	CDS	1080	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
HANCKOBL_01357	CDS	1173	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
HANCKOBL_01358	CDS	249	acpP_1			Acyl carrier protein
HANCKOBL_01359	CDS	915	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
HANCKOBL_01360	CDS	1692		6.2.1.-	COG0318	Long-chain-fatty-acid--AMP ligase FadD26
HANCKOBL_01361	CDS	1143	yghO			Protein YghO
HANCKOBL_01362	CDS	765	glcC		COG2186	Glc operon transcriptional activator
HANCKOBL_01363	CDS	1500		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
HANCKOBL_01364	CDS	1053				hypothetical protein
HANCKOBL_01365	CDS	1224	lutA_2			Lactate utilization protein A
HANCKOBL_01366	CDS	405				hypothetical protein
HANCKOBL_01367	CDS	2172	glcB	2.3.3.9	COG2225	Malate synthase G
HANCKOBL_01368	CDS	1683	glcA		COG1620	Glycolate permease GlcA
HANCKOBL_01369	CDS	4572				hypothetical protein
HANCKOBL_01370	CDS	810	pppA		COG1989	Prepilin peptidase PppA
HANCKOBL_01371	CDS	411	yghG			Lipoprotein YghG
HANCKOBL_01372	CDS	960	gspC2			Type II secretion system protein C 2
HANCKOBL_01373	CDS	2061	gspD2			Secretin GspD 2
HANCKOBL_01374	CDS	1494	epsE_1		COG2804	Type II secretion system protein E
HANCKOBL_01375	CDS	1224	epsF_1		COG1459	Type II secretion system protein F
HANCKOBL_01376	CDS	456	epsG		COG2165	Type II secretion system protein G
HANCKOBL_01377	CDS	564	epsH			Type II secretion system protein H
HANCKOBL_01378	CDS	372				hypothetical protein
HANCKOBL_01379	CDS	606	xcpW		COG4795	Type II secretion system protein J
HANCKOBL_01380	CDS	978	gspK_1		COG3156	Putative type II secretion system protein K
HANCKOBL_01381	CDS	1179				hypothetical protein
HANCKOBL_01382	CDS	537	epsM_1		COG3149	Type II secretion system protein M
HANCKOBL_01383	CDS	777	kpsM		COG1682	Polysialic acid transport protein KpsM
HANCKOBL_01384	CDS	660	kpsT			Polysialic acid transport ATP-binding protein KpsT
HANCKOBL_01385	CDS	624	epsM_2	2.3.1.-	COG0110	Putative acetyltransferase EpsM
HANCKOBL_01386	CDS	1041	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
HANCKOBL_01387	CDS	1257	neuA	2.7.7.43		N-acylneuraminate cytidylyltransferase
HANCKOBL_01388	CDS	1110	neuC			Polysialic acid biosynthesis protein P7
HANCKOBL_01389	CDS	1176				hypothetical protein
HANCKOBL_01390	CDS	1230				hypothetical protein
HANCKOBL_01391	CDS	1197				hypothetical protein
HANCKOBL_01392	CDS	2028				hypothetical protein
HANCKOBL_01393	CDS	741	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
HANCKOBL_01394	CDS	1677	kpsD		COG1596	Polysialic acid transport protein KpsD
HANCKOBL_01395	CDS	1149				hypothetical protein
HANCKOBL_01396	CDS	984	kpsF	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KpsF
HANCKOBL_01397	CDS	291				hypothetical protein
HANCKOBL_01398	tRNA	76				tRNA-Phe(gaa)
HANCKOBL_01399	CDS	708				hypothetical protein
HANCKOBL_01400	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
HANCKOBL_01401	CDS	1257	nupG			Nucleoside permease NupG
HANCKOBL_01402	CDS	1080	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
HANCKOBL_01403	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
HANCKOBL_01404	CDS	1053	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
HANCKOBL_01405	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
HANCKOBL_01406	CDS	327			COG3171	putative protein
HANCKOBL_01407	CDS	720				hypothetical protein
HANCKOBL_01408	CDS	1047	ansB	3.5.1.1	COG0252	L-asparaginase 2
HANCKOBL_01409	CDS	1008				hypothetical protein
HANCKOBL_01410	CDS	1137	hemW		COG0635	Heme chaperone HemW
HANCKOBL_01411	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
HANCKOBL_01412	CDS	291				hypothetical protein
HANCKOBL_01413	CDS	567				hypothetical protein
HANCKOBL_01414	CDS	705	yggS		COG0325	Pyridoxal phosphate homeostasis protein
HANCKOBL_01415	CDS	981	yggR		COG2805	putative protein YggR
HANCKOBL_01416	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
HANCKOBL_01417	CDS	636				hypothetical protein
HANCKOBL_01418	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
HANCKOBL_01419	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
HANCKOBL_01420	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
HANCKOBL_01421	CDS	456	sprT			Protein SprT
HANCKOBL_01422	CDS	1395	galP			Galactose-proton symporter
HANCKOBL_01423	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
HANCKOBL_01424	CDS	252				hypothetical protein
HANCKOBL_01425	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
HANCKOBL_01426	CDS	732				hypothetical protein
HANCKOBL_01427	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
HANCKOBL_01428	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
HANCKOBL_01429	CDS	1992	tktA_1	2.2.1.1	COG0021	Transketolase 1
HANCKOBL_01430	CDS	909	hflC_1		COG0330	Modulator of FtsH protease HflC
HANCKOBL_01431	CDS	444	cmtB		COG1762	Mannitol-specific cryptic phosphotransferase enzyme IIA component
HANCKOBL_01432	CDS	1389	mtlA_1			PTS system mannitol-specific EIICB component
HANCKOBL_01433	CDS	1278	yggP_1	1.1.1.17	COG1063	Mannitol-1-phosphate 5-dehydrogenase
HANCKOBL_01434	CDS	966	yggF	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 2 class 2
HANCKOBL_01435	CDS	510	fumE	4.2.1.2	COG3722	Fumarase E
HANCKOBL_01436	CDS	714	coaA_1	2.7.1.33		Pantothenate kinase
HANCKOBL_01437	CDS	678	ecfA1_1	7.-.-.-		Energy-coupling factor transporter ATP-binding protein EcfA1
HANCKOBL_01438	CDS	678	ecfA1_2	7.-.-.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
HANCKOBL_01439	CDS	708				hypothetical protein
HANCKOBL_01440	CDS	579				hypothetical protein
HANCKOBL_01441	CDS	432				hypothetical protein
HANCKOBL_01442	CDS	1020	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
HANCKOBL_01443	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
HANCKOBL_01444	CDS	1080	fbaA_1	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
HANCKOBL_01445	CDS	861	mscS		COG0668	Small-conductance mechanosensitive channel
HANCKOBL_01446	CDS	636	argO		COG1279	Arginine exporter protein ArgO
HANCKOBL_01447	CDS	741			COG2968	26 kDa periplasmic immunogenic protein
HANCKOBL_01448	CDS	276	mkaC			Virulence genes transcriptional activator
HANCKOBL_01449	CDS	612				hypothetical protein
HANCKOBL_01450	CDS	1095	scpA	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
HANCKOBL_01451	CDS	894	argP		COG0583	HTH-type transcriptional regulator ArgP
HANCKOBL_01452	CDS	231				hypothetical protein
HANCKOBL_01453	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
HANCKOBL_01454	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
HANCKOBL_01455	CDS	603	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
HANCKOBL_01456	CDS	330	zapA		COG3027	Cell division protein ZapA
HANCKOBL_01457	CDS	579				hypothetical protein
HANCKOBL_01458	CDS	1326	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
HANCKOBL_01459	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
HANCKOBL_01460	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
HANCKOBL_01461	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
HANCKOBL_01462	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
HANCKOBL_01463	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
HANCKOBL_01464	CDS	1434	bglA	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
HANCKOBL_01465	CDS	312				hypothetical protein
HANCKOBL_01466	CDS	660				hypothetical protein
HANCKOBL_01467	CDS	981	ygfZ		COG0354	tRNA-modifying protein YgfZ
HANCKOBL_01468	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
HANCKOBL_01469	CDS	408	ygfX			Inner membrane protein YgfX
HANCKOBL_01470	CDS	522	fldB		COG0716	Flavodoxin 2
HANCKOBL_01471	CDS	897	xerD_2		COG4974	Tyrosine recombinase XerD
HANCKOBL_01472	CDS	711	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
HANCKOBL_01473	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
HANCKOBL_01474	CDS	882	prfB		COG1186	Peptide chain release factor RF2
HANCKOBL_01475	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
HANCKOBL_01476	CDS	549	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
HANCKOBL_01477	CDS	126	yqfG			putative protein YqfG
HANCKOBL_01478	CDS	1449	uacT		COG2233	Uric acid transporter UacT
HANCKOBL_01479	CDS	1920		1.18.1.2		Ferredoxin--NADP reductase
HANCKOBL_01480	CDS	489	hyfA_1	1.-.-.-	COG1142	Hydrogenase-4 component A
HANCKOBL_01481	CDS	1368	ghxQ		COG2252	Guanine/hypoxanthine permease GhxQ
HANCKOBL_01482	CDS	1317	guaD	3.5.4.3	COG0402	Guanine deaminase
HANCKOBL_01483	CDS	1401	xanQ		COG2233	Xanthine permease XanQ
HANCKOBL_01484	CDS	2871	xdhA_1	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
HANCKOBL_01485	CDS	780				hypothetical protein
HANCKOBL_01486	CDS	1329	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
HANCKOBL_01487	CDS	3099	ygfK		COG0493	Putative oxidoreductase YgfK
HANCKOBL_01488	CDS	579	mocA	2.7.7.76	COG2068	Molybdenum cofactor cytidylyltransferase
HANCKOBL_01489	CDS	771				hypothetical protein
HANCKOBL_01490	CDS	1626				hypothetical protein
HANCKOBL_01491	CDS	933	arcC1_2	2.7.2.2		Carbamate kinase 1
HANCKOBL_01492	CDS	1386	hyuA	3.5.2.-	COG0044	D-phenylhydantoinase
HANCKOBL_01493	CDS	1212	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
HANCKOBL_01494	CDS	1197	ygeX	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
HANCKOBL_01495	CDS	1188	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
HANCKOBL_01496	CDS	1779	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
HANCKOBL_01497	CDS	480	ndhS	1.17.1.5		Nicotinate dehydrogenase small FeS subunit
HANCKOBL_01498	CDS	879	ndhF	1.17.1.5		Nicotinate dehydrogenase FAD-subunit
HANCKOBL_01499	CDS	2298	xdhA_2	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
HANCKOBL_01500	CDS	756	nlpD_1			Murein hydrolase activator NlpD
HANCKOBL_01501	tRNA	74				tRNA-Gly(ccc)
HANCKOBL_01502	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
HANCKOBL_01503	CDS	1182	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
HANCKOBL_01504	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
HANCKOBL_01505	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
HANCKOBL_01506	CDS	1419	araE			Arabinose-proton symporter
HANCKOBL_01507	CDS	693	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
HANCKOBL_01508	CDS	936	occR			Octopine catabolism/uptake operon regulatory protein OccR
HANCKOBL_01509	CDS	1263	lysA	4.1.1.20		Diaminopimelate decarboxylase
HANCKOBL_01510	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
HANCKOBL_01511	CDS	2160	aas		COG0204	Bifunctional protein Aas
HANCKOBL_01512	CDS	1194	lplT			Lysophospholipid transporter LplT
HANCKOBL_01513	CDS	1041	tas		COG0667	Protein tas
HANCKOBL_01514	CDS	219	ygdR_1			putative lipoprotein YgdR
HANCKOBL_01515	CDS	714				hypothetical protein
HANCKOBL_01516	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
HANCKOBL_01517	CDS	147				hypothetical protein
HANCKOBL_01518	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
HANCKOBL_01519	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
HANCKOBL_01520	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
HANCKOBL_01521	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
HANCKOBL_01522	CDS	471				hypothetical protein
HANCKOBL_01523	CDS	564				hypothetical protein
HANCKOBL_01524	CDS	408				hypothetical protein
HANCKOBL_01525	CDS	324				hypothetical protein
HANCKOBL_01526	CDS	3369	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
HANCKOBL_01527	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
HANCKOBL_01528	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
HANCKOBL_01529	CDS	1827	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
HANCKOBL_01530	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
HANCKOBL_01531	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
HANCKOBL_01532	CDS	825	licT		COG3711	Transcription antiterminator LicT
HANCKOBL_01533	CDS	1581	malX_2		COG1263	PTS system maltose-specific EIICB component
HANCKOBL_01534	CDS	1176	malY_2		COG1168	Protein MalY
HANCKOBL_01535	CDS	597	kdsD_1	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
HANCKOBL_01536	CDS	948		1.1.1.81	COG0111	Hydroxypyruvate reductase
HANCKOBL_01537	CDS	1377				hypothetical protein
HANCKOBL_01538	CDS	429				hypothetical protein
HANCKOBL_01539	CDS	537				hypothetical protein
HANCKOBL_01540	CDS	1080				hypothetical protein
HANCKOBL_01541	CDS	1725				hypothetical protein
HANCKOBL_01542	CDS	462				hypothetical protein
HANCKOBL_01543	CDS	108				hypothetical protein
HANCKOBL_01544	CDS	918				hypothetical protein
HANCKOBL_01545	CDS	1638				hypothetical protein
HANCKOBL_01546	CDS	3390				hypothetical protein
HANCKOBL_01547	CDS	1215				hypothetical protein
HANCKOBL_01548	CDS	552				hypothetical protein
HANCKOBL_01549	CDS	603				hypothetical protein
HANCKOBL_01550	CDS	2514				hypothetical protein
HANCKOBL_01551	CDS	1869				hypothetical protein
HANCKOBL_01552	CDS	528				hypothetical protein
HANCKOBL_01553	CDS	822				hypothetical protein
HANCKOBL_01554	CDS	2373				hypothetical protein
HANCKOBL_01555	CDS	2637	clpV1_1		COG0542	Protein ClpV1
HANCKOBL_01556	CDS	492	hcpA_2		COG3157	Major exported protein
HANCKOBL_01557	CDS	1653	ompA_1			Outer membrane protein A
HANCKOBL_01558	CDS	666				hypothetical protein
HANCKOBL_01559	CDS	1338				hypothetical protein
HANCKOBL_01560	CDS	1539				hypothetical protein
HANCKOBL_01561	CDS	501				hypothetical protein
HANCKOBL_01562	tRNA	75				tRNA-Met(cat)
HANCKOBL_01563	CDS	651				hypothetical protein
HANCKOBL_01564	CDS	549	nohA		COG4220	Prophage DNA-packing protein NohA
HANCKOBL_01565	CDS	354				hypothetical protein
HANCKOBL_01566	CDS	327				hypothetical protein
HANCKOBL_01567	CDS	294				hypothetical protein
HANCKOBL_01568	CDS	462				hypothetical protein
HANCKOBL_01569	CDS	498	rrrD_1	3.2.1.17	COG3772	Lysozyme RrrD
HANCKOBL_01570	CDS	216				hypothetical protein
HANCKOBL_01571	CDS	1083	ompD		COG3203	Outer membrane porin protein OmpD
HANCKOBL_01572	CDS	384				hypothetical protein
HANCKOBL_01573	CDS	138	ylcG			putative protein YlcG
HANCKOBL_01574	CDS	363	rusA_2	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
HANCKOBL_01575	CDS	342				hypothetical protein
HANCKOBL_01576	CDS	528				hypothetical protein
HANCKOBL_01577	CDS	441				hypothetical protein
HANCKOBL_01578	CDS	291				hypothetical protein
HANCKOBL_01579	CDS	702				hypothetical protein
HANCKOBL_01580	CDS	900				hypothetical protein
HANCKOBL_01581	CDS	297				hypothetical protein
HANCKOBL_01582	CDS	216				hypothetical protein
HANCKOBL_01583	CDS	654			COG1974	putative HTH-type transcriptional regulator
HANCKOBL_01584	CDS	558				hypothetical protein
HANCKOBL_01585	CDS	750				hypothetical protein
HANCKOBL_01586	CDS	273				hypothetical protein
HANCKOBL_01587	CDS	582				hypothetical protein
HANCKOBL_01588	CDS	201				hypothetical protein
HANCKOBL_01589	CDS	369				hypothetical protein
HANCKOBL_01590	CDS	165				hypothetical protein
HANCKOBL_01591	CDS	144				hypothetical protein
HANCKOBL_01592	CDS	297				hypothetical protein
HANCKOBL_01593	CDS	786				hypothetical protein
HANCKOBL_01594	CDS	681				hypothetical protein
HANCKOBL_01595	CDS	183				hypothetical protein
HANCKOBL_01596	CDS	192				hypothetical protein
HANCKOBL_01597	CDS	222				hypothetical protein
HANCKOBL_01598	CDS	765				hypothetical protein
HANCKOBL_01599	CDS	255				hypothetical protein
HANCKOBL_01600	CDS	534				hypothetical protein
HANCKOBL_01601	CDS	252				hypothetical protein
HANCKOBL_01602	CDS	741				hypothetical protein
HANCKOBL_01603	CDS	285				hypothetical protein
HANCKOBL_01604	CDS	240				hypothetical protein
HANCKOBL_01605	CDS	237				hypothetical protein
HANCKOBL_01606	CDS	1143				hypothetical protein
HANCKOBL_01607	CDS	1251	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
HANCKOBL_01608	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
HANCKOBL_01609	CDS	462	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
HANCKOBL_01610	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
HANCKOBL_01611	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
HANCKOBL_01612	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
HANCKOBL_01613	CDS	672	phoP			Transcriptional regulatory protein PhoP
HANCKOBL_01614	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
HANCKOBL_01615	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
HANCKOBL_01616	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
HANCKOBL_01617	CDS	1137	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
HANCKOBL_01618	CDS	858	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
HANCKOBL_01619	CDS	795	ydcV_1			Inner membrane ABC transporter permease protein YdcV
HANCKOBL_01620	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
HANCKOBL_01621	CDS	462	ymfA			Inner membrane protein YmfA
HANCKOBL_01622	CDS	786	ycfZ			Inner membrane protein YcfZ
HANCKOBL_01623	CDS	822	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
HANCKOBL_01624	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
HANCKOBL_01625	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
HANCKOBL_01626	CDS	702	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
HANCKOBL_01627	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
HANCKOBL_01628	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
HANCKOBL_01629	CDS	3519	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
HANCKOBL_01630	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
HANCKOBL_01631	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
HANCKOBL_01632	CDS	633	comR			HTH-type transcriptional repressor ComR
HANCKOBL_01633	CDS	540				hypothetical protein
HANCKOBL_01634	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
HANCKOBL_01635	CDS	543				hypothetical protein
HANCKOBL_01636	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
HANCKOBL_01637	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
HANCKOBL_01638	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
HANCKOBL_01639	CDS	378				hypothetical protein
HANCKOBL_01640	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
HANCKOBL_01641	CDS	2190	fhuE		COG4773	FhuE receptor
HANCKOBL_01642	CDS	1434	ptsG_1		COG1263	PTS system glucose-specific EIICB component
HANCKOBL_01643	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
HANCKOBL_01644	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
HANCKOBL_01645	CDS	642	tmk_2	2.7.4.9	COG0125	Thymidylate kinase
HANCKOBL_01646	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
HANCKOBL_01647	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
HANCKOBL_01648	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
HANCKOBL_01649	CDS	237	acpP_2			Acyl carrier protein
HANCKOBL_01650	CDS	735	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HANCKOBL_01651	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
HANCKOBL_01652	CDS	954	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HANCKOBL_01653	CDS	1041	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
HANCKOBL_01654	CDS	174	rpmF		COG0333	50S ribosomal protein L32
HANCKOBL_01655	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
HANCKOBL_01656	CDS	624	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
HANCKOBL_01657	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
HANCKOBL_01658	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
HANCKOBL_01659	CDS	954	flgL		COG1344	Flagellar hook-associated protein 3
HANCKOBL_01660	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
HANCKOBL_01661	CDS	942	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
HANCKOBL_01662	CDS	1098	flgI			Flagellar P-ring protein
HANCKOBL_01663	CDS	699	flgH			Flagellar L-ring protein
HANCKOBL_01664	CDS	783	flgG		COG4786	Flagellar basal-body rod protein FlgG
HANCKOBL_01665	CDS	756	flgF		COG4787	Flagellar basal-body rod protein FlgF
HANCKOBL_01666	CDS	1206	flgE		COG1749	Flagellar hook protein FlgE
HANCKOBL_01667	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
